pathogen,country,trailing_weeks,trailing_values,forecast_hw_weeks,forecast_hw_values,forecast_hw_threshold_pct,forecast_hw_high_risk_weeks,tda_n_anomalies,tda_H0_z,tda_H1_z,tda_status,tda_trend,tda_lead_weeks,tda_past_rising,tda_past_falling,tda_seasonal_iso_weeks,hw_last_obs_week,hw_residual_z,hw_surprised,pca_dist_z,pca_position,convergence,target_weeks,target_values,cutoff_week
Influenza,Norway,2024-W45|2024-W46|2024-W47|2024-W48|2024-W49|2024-W50,0.8|1.0|1.0|1.3|4.5|3.2,2024-W51|2024-W52|2025-W01|2025-W02|2025-W03|2025-W04|2025-W05|2025-W06|2025-W07|2025-W08|2025-W09|2025-W10,7.68|21.13|-1.2|3.67|10.6|9.3|0.11|5.29|0.31|9.03|20.76|15.89,27.4,,8,1.16,-0.36,normal,"H0_rising,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2024-W50,-1.06,False,-0.92,normal,0,2024-W51|2024-W52|2025-W01|2025-W02|2025-W03|2025-W04|2025-W05|2025-W06|2025-W07|2025-W08|2025-W09|2025-W10,7.5|7.7|18.5|11.9|13.2|29.9|25.8|31.8|40.2|39.6|36.6|32.7,2024-W50
Influenza,Norway,2024-W47|2024-W48|2024-W49|2024-W50|2024-W51|2024-W52,1.0|1.3|4.5|3.2|7.5|7.7,2025-W01|2025-W02|2025-W03|2025-W04|2025-W05|2025-W06|2025-W07|2025-W08|2025-W09|2025-W10|2025-W11|2025-W12,-11.31|-6.49|0.4|-0.94|-10.18|-5.11|-10.28|-1.64|10.02|5.07|11.18|11.24,27.05,,8,-1.03,-0.36,normal,"H0_rising,H1_rising",7,4,4,1|26|46|47|49|50|51|52,2024-W52,-1.11,False,1.01,elevated,0,2025-W01|2025-W02|2025-W03|2025-W04|2025-W05|2025-W06|2025-W07|2025-W08|2025-W09|2025-W10|2025-W11|2025-W12,18.5|11.9|13.2|29.9|25.8|31.8|40.2|39.6|36.6|32.7|31.4|26.3,2024-W52
Influenza,Norway,2024-W49|2024-W50|2024-W51|2024-W52|2025-W01|2025-W02,4.5|3.2|7.5|7.7|18.5|11.9,2025-W03|2025-W04|2025-W05|2025-W06|2025-W07|2025-W08|2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14,19.88|18.62|9.45|14.66|9.64|18.39|30.2|25.38|31.49|31.57|37.6|36.21,26.55,2025-W09|2025-W11|2025-W12|2025-W13|2025-W14,8,-0.76,-0.36,normal,"H0_falling,H1_rising",7,4,4,1|26|46|47|49|50|51|52,2025-W02,-0.25,False,1.17,elevated,2,2025-W03|2025-W04|2025-W05|2025-W06|2025-W07|2025-W08|2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14,13.2|29.9|25.8|31.8|40.2|39.6|36.6|32.7|31.4|26.3|16.0|15.0,2025-W02
Influenza,Norway,2024-W51|2024-W52|2025-W01|2025-W02|2025-W03|2025-W04,7.5|7.7|18.5|11.9|13.2|29.9,2025-W05|2025-W06|2025-W07|2025-W08|2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16,16.07|21.25|16.08|24.85|36.64|31.86|38.06|38.13|44.3|42.93|26.68|31.05,27.05,2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14|2025-W16,8,-0.41,-0.36,normal,"H0_falling,H1_rising",7,4,4,1|26|46|47|49|50|51|52,2025-W04,1.3,False,2.66,far,2,2025-W05|2025-W06|2025-W07|2025-W08|2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16,25.8|31.8|40.2|39.6|36.6|32.7|31.4|26.3|16.0|15.0|13.3|8.0,2025-W04
Influenza,Norway,2025-W01|2025-W02|2025-W03|2025-W04|2025-W05|2025-W06,18.5|11.9|13.2|29.9|25.8|31.8,2025-W07|2025-W08|2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16|2025-W17|2025-W18,25.45|34.05|45.89|40.97|47.22|47.39|53.43|52.02|35.75|40.15|36.54|29.13,27.4,2025-W08|2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16|2025-W17|2025-W18,8,-1.41,-0.36,normal,"H0_falling,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2025-W06,0.29,False,2.42,far,2,2025-W07|2025-W08|2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16|2025-W17|2025-W18,40.2|39.6|36.6|32.7|31.4|26.3|16.0|15.0|13.3|8.0|13.7|3.1,2025-W06
Influenza,Norway,2025-W03|2025-W04|2025-W05|2025-W06|2025-W07|2025-W08,13.2|29.9|25.8|31.8|40.2|39.6,2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16|2025-W17|2025-W18|2025-W19|2025-W20,52.77|47.81|53.86|53.69|59.71|58.32|41.99|46.16|42.44|35.1|39.33|36.28,27.77,2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16|2025-W17|2025-W18|2025-W19|2025-W20,8,-1.95,-0.36,elevated,"H0_falling,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2025-W08,-0.51,False,2.19,far,3,2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16|2025-W17|2025-W18|2025-W19|2025-W20,36.6|32.7|31.4|26.3|16.0|15.0|13.3|8.0|13.7|3.1|3.1|3.7,2025-W08
Influenza,Norway,2025-W05|2025-W06|2025-W07|2025-W08|2025-W09|2025-W10,25.8|31.8|40.2|39.6|36.6|32.7,2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16|2025-W17|2025-W18|2025-W19|2025-W20|2025-W21|2025-W22,39.61|39.66|45.61|44.32|28.01|32.28|28.57|21.27|25.72|22.58|18.0|15.97,29.42,2025-W11|2025-W12|2025-W13|2025-W14|2025-W16,8,-2.45,-0.36,elevated,"H0_falling,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2025-W10,-0.32,False,1.22,elevated,3,2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16|2025-W17|2025-W18|2025-W19|2025-W20|2025-W21|2025-W22,31.4|26.3|16.0|15.0|13.3|8.0|13.7|3.1|3.1|3.7|4.3|11.1,2025-W10
Influenza,Norway,2025-W07|2025-W08|2025-W09|2025-W10|2025-W11|2025-W12,40.2|39.6|36.6|32.7|31.4|26.3,2025-W13|2025-W14|2025-W15|2025-W16|2025-W17|2025-W18|2025-W19|2025-W20|2025-W21|2025-W22|2025-W23|2025-W24,34.29|32.86|16.55|20.89|17.18|9.85|14.31|11.27|6.7|4.7|10.79|2.37,29.48,2025-W13|2025-W14,8,-0.89,-0.36,normal,"H0_rising,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2025-W12,-0.67,False,0.17,normal,2,2025-W13|2025-W14|2025-W15|2025-W16|2025-W17|2025-W18|2025-W19|2025-W20|2025-W21|2025-W22|2025-W23|2025-W24,16.0|15.0|13.3|8.0|13.7|3.1|3.1|3.7|4.3|11.1|0.0|0.0,2025-W12
Influenza,Norway,2025-W09|2025-W10|2025-W11|2025-W12|2025-W13|2025-W14,36.6|32.7|31.4|26.3|16.0|15.0,2025-W15|2025-W16|2025-W17|2025-W18|2025-W19|2025-W20|2025-W21|2025-W22|2025-W23|2025-W24|2025-W25|2025-W26,-0.4|3.96|0.24|-7.13|-2.71|-5.8|-10.36|-12.45|-6.38|-14.75|-13.97|-10.4,29.42,,8,-0.53,-0.36,normal,"H0_rising,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2025-W14,-0.37,False,0.37,normal,0,2025-W15|2025-W16|2025-W17|2025-W18|2025-W19|2025-W20|2025-W21|2025-W22|2025-W23|2025-W24|2025-W25|2025-W26,13.3|8.0|13.7|3.1|3.1|3.7|4.3|11.1|0.0|0.0|6.1|0.0,2025-W14
Influenza,Norway,2025-W11|2025-W12|2025-W13|2025-W14|2025-W15|2025-W16,31.4|26.3|16.0|15.0|13.3|8.0,2025-W17|2025-W18|2025-W19|2025-W20|2025-W21|2025-W22|2025-W23|2025-W24|2025-W25|2025-W26|2025-W27|2025-W28,5.93|-1.43|2.95|-0.11|-4.68|-6.64|-0.51|-8.81|-8.06|-4.65|-13.35|-5.78,29.0,,8,0.23,-0.36,normal,"H0_rising,H1_falling",7,4,4,1|26|46|47|49|50|51|52,2025-W16,-0.56,False,-0.28,normal,0,2025-W17|2025-W18|2025-W19|2025-W20|2025-W21|2025-W22|2025-W23|2025-W24|2025-W25|2025-W26|2025-W27|2025-W28,13.7|3.1|3.1|3.7|4.3|11.1|0.0|0.0|6.1|0.0|13.3|0.0,2025-W16
